"","ID","Fluency_T1","Originality_T1","Title_T1","Elaboration_T1","Closure_T1","Total_T1","timepoint"
"154",154,NA,NA,NA,NA,NA,NA,1
"155",155,NA,NA,NA,NA,NA,NA,1
"156",156,NA,NA,NA,NA,NA,NA,1
"157",157,NA,NA,NA,NA,NA,NA,1
"158",158,NA,NA,NA,NA,NA,NA,1
"159",159,NA,NA,NA,NA,NA,NA,1
"160",160,NA,NA,NA,NA,NA,NA,1
"161",161,NA,NA,NA,NA,NA,NA,1
"162",162,NA,NA,NA,NA,NA,NA,1
"163",163,NA,NA,NA,NA,NA,NA,1
"164",164,NA,NA,NA,NA,NA,NA,1
"165",165,NA,NA,NA,NA,NA,NA,1
"166",166,NA,NA,NA,NA,NA,NA,1
"167",167,NA,NA,NA,NA,NA,NA,1
"168",168,NA,NA,NA,NA,NA,NA,1
"169",169,NA,NA,NA,NA,NA,NA,1
"170",170,NA,NA,NA,NA,NA,NA,1
"171",171,NA,NA,NA,NA,NA,NA,1
"172",172,NA,NA,NA,NA,NA,NA,1
"173",173,NA,NA,NA,NA,NA,NA,1
"174",174,NA,NA,NA,NA,NA,NA,1
"175",175,NA,NA,NA,NA,NA,NA,1
"176",176,NA,NA,NA,NA,NA,NA,1
"177",177,NA,NA,NA,NA,NA,NA,1
"178",178,NA,NA,NA,NA,NA,NA,1
"179",179,NA,NA,NA,NA,NA,NA,1
"180",180,NA,NA,NA,NA,NA,NA,1
"181",181,NA,NA,NA,NA,NA,NA,1
"182",182,NA,NA,NA,NA,NA,NA,1
"183",183,NA,NA,NA,NA,NA,NA,1
"184",184,NA,NA,NA,NA,NA,NA,1
"185",185,NA,NA,NA,NA,NA,NA,1
"186",186,NA,NA,NA,NA,NA,NA,1
"187",187,NA,NA,NA,NA,NA,NA,1
"188",188,NA,NA,NA,NA,NA,NA,1
"189",189,NA,NA,NA,NA,NA,NA,1
"190",190,NA,NA,NA,NA,NA,NA,1
"191",191,NA,NA,NA,NA,NA,NA,1
"192",192,NA,NA,NA,NA,NA,NA,1
"193",193,NA,NA,NA,NA,NA,NA,1
"194",194,NA,NA,NA,NA,NA,NA,1
"195",195,NA,NA,NA,NA,NA,NA,1
"196",196,NA,NA,NA,NA,NA,NA,1
"197",197,NA,NA,NA,NA,NA,NA,1
"198",198,NA,NA,NA,NA,NA,NA,1
"199",199,NA,NA,NA,NA,NA,NA,1
"200",200,NA,NA,NA,NA,NA,NA,1
"201",201,NA,NA,NA,NA,NA,NA,1
"202",202,NA,NA,NA,NA,NA,NA,1
"203",203,10,8,10,2,12,20,1
"204",204,NA,NA,NA,NA,NA,NA,1
"205",205,NA,NA,NA,NA,NA,NA,1
"206",206,NA,NA,NA,NA,NA,NA,1
"207",207,NA,NA,NA,NA,NA,NA,1
"208",208,NA,NA,NA,NA,NA,NA,1
"209",209,NA,NA,NA,NA,NA,NA,1
"210",210,NA,NA,NA,NA,NA,NA,1
"211",211,NA,NA,NA,NA,NA,NA,1
"212",212,NA,NA,NA,NA,NA,NA,1
"213",213,NA,NA,NA,NA,NA,NA,1
"214",214,NA,NA,NA,NA,NA,NA,1
"215",215,NA,NA,NA,NA,NA,NA,1
"216",216,NA,NA,NA,NA,NA,NA,1
"217",217,NA,NA,NA,NA,NA,NA,1
"218",218,NA,NA,NA,NA,NA,NA,1
"219",219,NA,NA,NA,NA,NA,NA,1
"220",220,NA,NA,NA,NA,NA,NA,1
"221",221,NA,NA,NA,NA,NA,NA,1
"222",222,NA,NA,NA,NA,NA,NA,1
"223",223,NA,NA,NA,NA,NA,NA,1
"224",224,NA,NA,NA,NA,NA,NA,1
"225",225,NA,NA,NA,NA,NA,NA,1
"226",226,NA,NA,NA,NA,NA,NA,1
"227",227,NA,NA,NA,NA,NA,NA,1
"228",228,NA,NA,NA,NA,NA,NA,1
"229",229,NA,NA,NA,NA,NA,NA,1
"230",230,NA,NA,NA,NA,NA,NA,1
"231",231,NA,NA,NA,NA,NA,NA,1
"232",232,NA,NA,NA,NA,NA,NA,1
"233",233,NA,NA,NA,NA,NA,NA,1
"234",234,NA,NA,NA,NA,NA,NA,1
"235",235,NA,NA,NA,NA,NA,NA,1
"236",236,NA,NA,NA,NA,NA,NA,1
"237",237,NA,NA,NA,NA,NA,NA,1
"238",238,NA,NA,NA,NA,NA,NA,1
"239",239,NA,NA,NA,NA,NA,NA,1
"240",240,NA,NA,NA,NA,NA,NA,1
"241",241,NA,NA,NA,NA,NA,NA,1
"242",242,NA,NA,NA,NA,NA,NA,1
"243",243,NA,NA,NA,NA,NA,NA,1
"244",244,NA,NA,NA,NA,NA,NA,1
"245",245,NA,NA,NA,NA,NA,NA,1
"246",246,NA,NA,NA,NA,NA,NA,1
"247",247,NA,NA,NA,NA,NA,NA,1
"248",248,NA,NA,NA,NA,NA,NA,1
"249",249,NA,NA,NA,NA,NA,NA,1
"250",250,NA,NA,NA,NA,NA,NA,1
